tthresh_psnr_100
tthresh_psnr_40
tthresh_psnr_60
tthresh_psnr_80
wave_percent_deflate_bior4.4_10.0%
wave_percent_deflate_bior4.4_20.0%
wave_percent_deflate_bior4.4_3.0%
wave_percent_deflate_bior4.4_40.0%
wave_percent_deflate_bior4.4_5.0%
zfp_bpd_16
zfp_bpd_2
zfp_bpd_4
zfp_bpd_8
